english,hassaniya-ar,hassaniya-en
"Who searches, finds.","حد يلود, يجبر","7ed ylewed, yejber"
That's a tree.,هاذي صدراية,ha4i sedraye
Where is your house?,دارك امنين؟,dark 2mneyn?
Nessiba doesn't play tennis.,نسيبة ما تعرف التنس,Nessiba ma ta3rav tennis
A fork fell off the table.,فرشيت طاحت من عل الطابلة,fourchette 6a7et mn 3la 6abla
That child felt secure in his mother's arms.,اطفيل حس بالتمانوكت لين ضمتو امو,6feyl 7ass btamanouket leyn dhamtou emou
Boil down the report to one page.,اختزل التقرير فصحفة وحدة,e5tezel ta9rir v sav7a wa7da
Put some more wood on the fire.,زيد لحطب على النار,zid l76ab 3la nar
Nasser is our English teacher.,ناصر كان گراينا للانجيلزية,Nasser kan grayna el lengliziya
She has five older brothers.,عنده اخمس خوت اكبر منه,3endhe 5mes 5out 2ekber mnhe
I am going to do it whether you agree or not.,لاه نعدلها يسو گابل و الل ابدي,lahi n3adelhe yeswe gblt wll 2bdé
You should obey your parents.,يالتك تسمع ال والديك,yaltak tasma3 el waldeyk
You must do your homework at once.,يالل تعدل واجباتك ظرك,yall t3adel wajbatk 8ark
Nasser was acting in the capacity of ambassador.,ناصر كان سفير,Nasser kan sevir
Dr. Zeydan has a lot of patients.,الدكتور زيدان يجيه ياسر من المرضى,dectour zeydan yjih yasser mn lmardha
I'm taking a walk in a park.,انگوطر ف اتحويشة,ngou6er v te7wiche
We had an implicit agreement that we would support each other.,كان عندنا اتفاق ضمني انا لهي ندعمو بعضنا,kan 3ndne tiva9 dimni ine lehi nedi3mou b3dne
I'm getting ready for the worst.,انا نجهز الاشين شي يگد يخلگ,2ane nejehez l2echyen chi yged ye5leg
You should have seen that movie.,كان يالتك اتخرص ذاك الفلم,Kan yaltek t5eres 4ak film
The dog is dying.,الكلب كان لاهي يموت,lkelb lehi ymot
I'm free.,انا حر,ane 7r
That's the snag.,هذي هي المشكيلة,ha4i hiye lmechkile 
Love and Peace.,البغي و السلام ,2lbaghi W selam
There is no sign of life on Mars.,ما خالگ آثار حياة على كوكب المريخ,ma 5alg athar 7ayat 3le kewkeb lmiri5
Betty killed him.,كاتلتو بتي,kateltou Betty
I haven't had a chance to see the movie yet.,ما فت جبرت فرصه نخرص فلم,mavt 2jbart voursa 2n5arss film
A truck ran over our dog.,الكلب مشى فوگو كميون ,lkelb mcha vogo kemyoun
Don't touch the flowers.,لا تمس الفلير,latmss fleur 
Where's Salem?,سالم منين؟,Salem mneyn?
Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.,علماء الرياضيات كيف الفرنسيين. يگبظ ذلي دگول لهم و يترجموه شور لغتهم و يبدلوه تماما,3oulema2 riyadiyat kiv lverensiyin. yegeb8ou 4eli dgoul lhoum w yterejmouh chour lou9ethoum w ybedlouh temamen
I wonder what happened.,مندرى شخلگ,mindra chi5lg
I work for a shipping company.,نشتغل ف شركه للشحن,nichtghal v cherikt lcha7n 
Mariem loves chocolate.,مريم تبغي شوكولا,mariem tibghi chocolat
How is life in Gaza?,شماسية الحياة فغزة؟,chemasiye l7ayat v ghaza?
Sami spent the entire day cleaning the house.,فوت سامي نهار كامل و هو يصگل دار,Vewet sami nhar kamel w houwe yesgel dar
Turn down the TV.,نگص حس التلفزة,nguess 7es televza
Moulay asked Minetou if she would help him.,مولاي سول منت كانها لهي اتعاونو,Moulay sewl minetou kanhe 2tgd 2t3awnou 
One stayed and the other went away.,ابگى واحد و امشى لوخر,bga wa7d w mche lo5r
I went to the theater quite early with a view to getting a good seat.,مشيت شور المسرح الصباح اياك نجبر مقعد زين,mechey chor lmessra7 bil3ajle iyak nejbar me93ad zeyn
I have to give back the book before Saturday.,يالت انرد لكتاب سابگ يوم السبت,yalti nred lektab sabeg youm sebet
The sky is blue.,السما صافية,Sme savye 
Amadu is my friend.,آمادو صاحبي؟,Amado sa7bi
You will catch cold.,انت لاه يزدفك البرد,nte lahi yezedvek lbered
I don't expect anything from you.,ماني ظان منك شي,mani 8an menek chi
You can do it.,اتگد اتعدله,2tged 2t3edelhe
You have some books.,عندك شي من لكتوب,3endek chi mn lektoub
Where can I get a taxi?,تاكسي منين تنجبر؟,taxi mneyn tenjbar?
There are always some chores to be done about the house.,دايما فم شي من امور الدار اللي يالل تعدل,daymn vem chi mn 2oumour dar li yall tou3adel
He introduced his sister to me.,عرفني على اختو,3aravni 3le 5tou
Aziz is absent.,عزيز ما جا,3aziz ma ja
Have fun.,التهاي,2lthay
The girl was afraid of her own shadow.,اطفلة كانت خايفة من ظلها,6evla kant 5ayva mn 8elha
Mariem has been in maroco.,مريم كانت في المغرب,maryam kant lme9reb
School begins the day after tomorrow.,المدرسه لاه تسنتي نهار ال مو الصبح,lmedrasse lahi tsenti nhar 2l mo sb7
What does your aunt do?,شنه شقلت عمتك؟,chenhi che9let 3emtek?
Excuse me for opening your letter by mistake.,اسمح لي افتحت رسالتك بالغلط ,2sma7 li ivta7t risaltak blghal6
She has as many books as I.,عنده نفس عدد لكتوب لي عندي,3endhe nevs 3eded lektoub li 3endi
The door remained closed all day.,الباب كان مگفول النهار كامل,lbab kan megvoul nhar kamel
She eats nothing but vegetables.,هي ما توكل ماه الخضرة,Hiye matewkel mahou l5edre 
Make sure to turn off all the lights before going out.,اتأكد من طفي الاظواو كاملين من سابق تمشي ,t2kd mn 6avi le8waw kamlin mn sabg timchi
A door must be either shut or open.,الباب يالت يعود الا مگفول ولا مفتوح,lbab yalt y3od ela megvoul wla mevtou7
Lack of food had left him weak and exhausted.,گلت لوكيل خلات اضعيف و تعبان,Gelet lewkil 5elatou d3eyev w te3ban
The meeting is held twice a month.,الاجتماع يعدل مرتين في الشهر,lejtima3 yu3adel marteyn vi chahr 
The bridge is under construction.,الجسر مزال يبتنى,eljesser mezal yebtna
I was in the mountains.,كنتْ افلكد,kent 2vlekde
Don't touch me with your soapy hands.,لا تمسني وأيدك فيها بل الصابون,la tmessni w eydak vihe bel saboun
May I use your phone?,انگد انعمل تلفونك؟,nged n3emel televounek?
Its value trebled.,عاد يسوي صوگو اثلت مرات,3ad ysewi sougo ethlet marat
He doesn't live in my neighborhood.,هو مو ساكن في كارتيتن,houwe mo sakin 2v cartyti
Have you ever been to Mexico?,گطيت امشيت شور المكسيك؟,ga6ayt mesheyt shor 2lmexik?
Who shall ever unravel the mysteries of the sea?,احليلكم حگلل من ليهي يكتشف اسرار لبحر؟,7leylkm mn lehi yiktechev esrar lb7er?
You made the same mistake as last time.,عليت نفس الغلط الفايت,3eleyt nevs lghele6 lvayet
The machine is now in operation.,المكينة خاسرة,lmekina 5assra
Please remove your shoes before entering the house.,حگل افسخ نعايلك من سابگ تدخل الدار,7egele vs5 n3aylk mn sabg td5l dar
"We need action, not words.",نحتاجو الشقل ماه الكلام ,"ne7taju che9le , mahu lklam"
Your problem is similar to mine.,عندك نفس المشكيل لي عندي,3endek nevs lmechkile li 3endi
It is hard to wake up without a strong cup of coffee.,واعر علي نوعى من دون كاس من كافه مركز,wa3r 3liye new3a mn doun  Kass mn kave mrakz 
The box was so heavy I could not move it.,الصندوگ كان ثگيل لين ما گديت نحركو,esandoug kan thguil leyn ma guedeyt n7arkou
Who painted this painting?,ذي لوحة المن؟,4i lew7e lmen?
Don't set your failure down to bad luck.,لا دير اعل اللعگ ان فيك الزقبة,la diyr 3le le3eg 2en vik ze9be
"The spirit is willing, but the flesh is weak.","النفس حي, و الجسم اضْعَيِفْ","neves 7eye, w ljisem d3eyev"
Where's the nearest drugstore?,امنين هي اگرب صيدليه,2mneyn hiye egreb seydeliye ?
That was an evil bunny.,ذاكْ كان نيرب محالي,4ak kan neyreb 2m7ali
"When I grow up, I want to be a king.",ايلين نكبر، نبق انعود ملك,"2ileyn nekber, neb9i 2n3oud melik"
I remember giving him the key.,حاجلي اني عطيتو المفتاح,7ajeli eni 36aytou el mefta7
He's behaving oddly.,ماه على بابو,maho 3le babo
"Forgive me. ""What do I have to forgive?""","اسمحلي. ""ذ ال يالتي نسمح شنه""؟","Sme7li ""4eli yalti nasma7 chenhou""?"
No I'm not; you are!,ماه آنَ، الا انت!,"mahou 2ane, 2la 2nte!"
I'd like to mail this package to Canada.,نبغي نمشي ذ الكولي ال كندا,nebghi nmechi 4e elkouli el canada
There is a mosque near my house.,خالگ مسجد حذا الدار ,5alg messjd 74e dar
Bring me something to eat.,جيب لي شي ينكال,jib li chi yinkal
Is it a recent picture?,مندركان ذي صورة اجديدة,mendra kan 4i soura 2jdida
I'd like to report a theft.,ندور نبلغ عن صرگة,ndor nbelagh 3n sarga
We will exempt you from attending.,ما عليك تجي,ma 3lik tji
Lucy should be in the kitchen now.,لوسي يالل تعود ظرك في الكوزين,luci yall t3oud 8ark vilcousine
A known mistake is better than an unknown truth.,گولان رواي مانك تاقنه خير من اتعود مانك گاع عالم بيه,gewlan rwaye manek ta9enhe 5er mnou t3oud manek ga3 3alem bihe
You'd better get going in case you miss the bus.,اخير فيك تگيم ظرك لا يفوتك البيس,e5eyr vik tgueyem 8ark la yvotak lbus
We have two dogs. One is black and the other is white.,عندنا كلبين واحد اكحل و لوخر ابيظ,3ndne kelbeyn wa7d k7al w lo5ar bya8
Did you leave a tip?, خليتلو الدگديگ؟,5eleytlou degdig?
What time does your plane leave?,أي وقت لاه طير طايرة؟,2ey we9et lahi 6iyr 6ayre?
"The job looked quite simple, but it took me a week.",ذاك كان كيفتشي هين يغير گبظلي أسبوع,4ak kan kivtchi hiyin yeghyr gba8li sbou3
No one can help me.,ما يگد حد يعاوني,maygued 7ad y3awni
Your plan sounds great.,اتبان خطتك زينة,tban 5e6tek zeyne
They have many students.,عندهم ياسر من التلاميذ,3ndhoum yassr 2mn 2tlami4
"Which goes faster, a ship or a train?",ايهم اسرع، الباخره و الل القطار,"eyhoum esra3 , lba5ra wll l9i6ar"
Love and hate are opposite emotions.,البغي و الكره روايتين متعاكسات,lbaghi w lkourh chou3ouran mit3akssin 
What do you mean by that?,ذ الواعد بيه شنه؟,4el wa3ed bih chenhou?
My mom doesn't speak English very well.,والدتى ماه كلامة بالانجليزية,waledti mahi kelame 2eblingliziye
Please forgive me.,حگل اسمحلي,7agalla sma7li
Would you mind shutting the door?,تگد تگفل الباب,tgued tagval lbab
Amadu was very happy.,آمادو كان فرحان حته,Amado kan var7an 7att
You really don't want to know.,ما عينك فتعرف,ma 3aynak v ta3erv
Mom is older than Dad.,والدتي أكبر من والدي فالسن,waledti akbar mn waldi v sen
You're always anticipating trouble.,دائما تتفايل ان يخلگ شي شين,daymen tetvayel 2en ye5leg chi cheyn
People sometimes compare death to sleep.,الرگاد ماه متباعد مع الموت,rgad maho metba3ed m3a lmewt
"Englishmen are, on the whole, conservative.",النصارى اكثريتهم محافظين,nssara 2ktheriyithoum mou7av8in 
Watch out! There's a big hole there.,عسك ، فم فيه حفره كبيره,3issk vem vih 7ivra kbire
I can play the piano after a fashion.,بالسيف نعرف خبيط بيانو,beseyv na3rav 5bi6 piano
You are too inquisitive about other people's affairs.,انت اتسول عن شي ما يعنيك,nte tsewel 3en chi ma ye3nik
What is your mother tongue?,لغتك الأم شنه؟,Lou9tek l2oum chenhi?
"Playing camel race, he got injured.",انعطب لين كان يلعب لز البل   ,2in36b leyn kan yel3ab Lez 2lbil
Can you see the difference?,فطنت ال ذلي طرا؟,v6ant el 4eli 6ra?
I'm going to stay just a little bit longer.,اندور نمشي بعد اشوي ,2ndawr nmshi b3d 2shwy
A truck hit the dog.,الكميون خبط الكلب,elkemyoun 5ba6 lkelb
It's not a zebra; it's a monkey.,هو مو الوحش هو ليليه,houwe mo lwa7ch houwe leylihe 
Can you keep a secret?,انگد ان امن فيك؟,nged n2emen vik?
The station is not far from here.,الوقفه ماهي بعيده حته من هون,lwa9ve mehi b3ide 7att mn houn 
Please send it to me by fax.,مشيهلي على الفاكس حگل,mechihli 3le fax 7agalla
I love that chair.,نبغي ذا المقعد,nibghi 4e lme93d
I'm starving!,انا كاتلني جوع,2ane katelni jou3
Mohamed looks very young.,محمد كيفتشي مزال سغير,Mohamed kivtchi mezal sghir
You look happy today.,اتبان فرحان اليوم,tban ver7an lyoum
She can drive a car.,تگد تحرك الوتة,tgued t7arak lwetta
And everyone has the ability to contribute.,كل حد يگد يشارك,kel 7ad ygued ycharek
I can't understand his feelings.,ما وضاحلي,ma wdha7li
I know those girls.,نعرف ذوك الطافلات ,Ne3rev 4ouk 6avilat
Ask Ahmed if he's going out this evening.,سول احمد يكان لاه يوخظ ذي الدحمساية,sewel ahmed yekanou lahi yew5e8 4i de7misaye
The answer is actually quite simple.,فالحقيقة الجواب بسيط,Vl7e9i9e ljwab besiy6
The rain changed to snow.,السحاب اتحولت لاگلاص,2s7ab 2t7awlt lsbou3
One of us will have to go.,واحد منا يالتو يمشي,wa7ed mna yaltou yemchi
It's a system that works.,هو سيستم يشتقل,houwe system yicht9al
He jumped out the window.,رصف من الكوى,resev mn lkuwe
The situation is beyond my grasp.,هذا ما تليت ننفع فيه,ha4a matleyt nanva3 vih
I can't live that kind of life.,مانْگد نحي ذ نوع من الحياة,manged ne7ye 4e new3 mn l7eyat
